time(s),intensity,nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),Pitch
0.026239,0.00007,4,908.620,367.924,1790.046,527.338,3070.528,369.497,4441.573,680.566,--undefined--
0.032489,0.00008,4,972.183,417.078,1687.653,445.132,3053.873,346.118,4196.758,378.802,--undefined--
0.038739,0.0001,4,1036.668,255.416,1684.751,370.170,2998.052,252.405,4074.221,248.988,--undefined--
0.044989,0.0001,4,1053.153,284.752,1594.203,329.698,2994.557,261.903,4020.287,327.177,--undefined--
0.051239,0.0002,4,971.805,429.699,1582.365,325.122,2941.714,196.122,4023.994,342.779,--undefined--
0.057489,0.0002,4,1006.778,246.631,1664.248,297.744,2907.185,264.505,4091.009,357.314,--undefined--
0.063739,0.0002,4,1001.952,106.243,1714.072,210.630,3027.176,354.709,4038.477,367.434,--undefined--
0.069989,0.0002,4,982.741,115.387,1718.758,192.109,3017.886,278.485,4017.059,394.986,--undefined--
0.076239,0.0002,4,1025.923,267.819,1608.297,263.781,2947.147,395.854,4081.583,506.046,--undefined--
0.082489,0.0003,4,976.941,200.479,1585.014,313.361,2870.526,371.196,4132.600,461.483,--undefined--
0.088739,0.0003,4,980.113,178.036,1696.387,296.303,2982.930,366.218,4208.017,653.341,--undefined--
0.094989,0.0003,4,992.522,178.717,1692.518,132.401,2943.945,185.764,4304.135,692.901,--undefined--
0.101239,0.0003,4,934.884,173.959,1693.945,53.871,2917.953,169.071,4153.782,491.044,--undefined--
0.107489,0.023,4,967.830,238.152,1680.194,81.480,2881.372,146.886,4180.819,479.772,--undefined--
0.113739,0.058,4,934.309,310.113,1650.777,225.020,2878.534,226.564,4219.059,631.358,--undefined--
0.119989,0.062,4,742.724,759.111,1425.564,705.376,2756.318,1020.915,4122.864,1426.430,269.3502055213235
0.126239,0.083,4,783.042,284.537,1370.175,384.387,2867.669,804.052,3932.212,744.567,269.3502055213235
0.132489,0.083,4,816.351,189.064,1410.700,359.211,2888.580,409.486,3929.718,370.609,261.25161616586945
0.138739,0.083,4,833.365,169.420,1465.967,496.854,2936.361,322.586,3944.505,360.962,261.25161616586945
0.144989,0.083,4,848.493,176.734,1524.911,635.649,3000.467,352.869,4016.266,552.874,262.0354481051916
0.151239,0.083,4,840.461,160.300,1578.879,622.882,3018.018,367.558,4031.682,535.199,265.4201680422659
0.157489,0.083,4,829.509,127.606,1652.028,721.235,2996.977,370.788,4067.068,667.141,265.4201680422659
0.163739,0.083,4,817.127,87.847,1765.160,931.672,2924.415,421.478,4064.200,848.568,268.1152473133977
0.169989,0.083,4,810.766,64.954,1993.233,1297.138,2819.872,612.424,3942.226,1231.404,269.1135557654747
0.176239,0.079,4,801.662,50.794,2350.999,836.330,2930.774,1308.317,3664.644,2257.065,269.1135557654747
0.182489,0.063,4,788.889,46.070,2074.728,898.734,2738.517,845.031,3716.337,1332.715,267.52662568781165
0.188739,0.060,4,771.171,49.828,1747.312,662.155,2684.144,489.747,3744.793,743.029,267.52662568781165
0.194989,0.051,4,749.228,59.741,1607.664,400.755,2705.901,329.032,3852.138,705.678,262.64446585644555
0.201239,0.047,4,718.225,69.505,1556.782,229.386,2701.005,257.361,3996.495,599.347,255.44446099468698
0.207489,0.039,4,685.114,65.735,1542.689,160.245,2672.518,190.606,4057.822,364.337,255.44446099468698
0.213739,0.033,4,671.728,72.945,1544.223,224.436,2683.796,135.154,4071.776,261.574,245.4605811579823
0.219989,0.033,4,645.184,85.905,1560.832,309.655,2692.345,169.973,4135.556,262.137,234.17684898028105
0.226239,0.025,4,592.046,100.584,1559.506,336.474,2741.615,187.288,4143.653,261.331,234.17684898028105
0.232489,0.017,4,551.370,106.849,1568.165,272.760,2790.120,157.995,4175.767,277.751,221.42476630481377
0.238739,0.017,4,545.825,125.612,1562.032,324.577,2815.177,143.707,4248.209,335.316,221.42476630481377
0.244989,0.014,4,531.182,142.050,1519.421,485.087,2838.319,157.648,4313.618,400.015,206.22377765500607
0.251239,0.010,4,479.161,125.563,1545.304,545.897,2851.962,144.265,4360.291,379.217,191.8124643703661
0.257489,0.008,4,455.757,95.903,1538.117,599.189,2883.845,208.125,4447.781,463.733,191.8124643703661
0.263739,0.008,4,446.326,85.911,1476.206,446.199,2896.621,208.616,4606.742,885.565,177.39763425947288
0.269989,0.005,4,422.392,62.331,1456.242,383.181,2870.365,358.908,4535.088,1098.355,166.10105808244887
0.276239,0.002,4,409.029,57.191,1409.921,419.382,2854.999,553.360,4372.536,709.589,166.10105808244887
0.282489,0.002,4,400.629,54.220,1417.498,393.452,2924.336,426.303,4334.637,877.513,156.36445027142835
0.288739,0.001,4,388.784,58.453,1354.062,481.583,2864.866,187.276,4245.525,720.874,156.36445027142835
0.294989,0.001,4,386.849,78.588,1188.143,741.682,2878.305,91.242,4326.288,772.994,148.6460718341117
0.301239,0.001,3,367.044,100.915,1235.483,898.323,2884.966,94.498,--undefined--,--undefined--,139.30359577855702
0.307489,0.0006,4,336.643,72.916,1447.061,668.011,2886.508,417.738,4474.748,1330.722,139.30359577855702
0.313739,0.0005,4,328.637,92.113,1359.414,707.607,2866.385,262.602,4348.823,989.764,130.97984380013907
0.319989,0.0004,4,321.890,76.398,1418.160,796.519,2910.585,195.393,4453.378,1087.292,130.96126237844106
0.326239,0.0001,4,318.701,87.973,1344.963,504.130,2957.929,243.045,4439.007,831.313,130.96126237844106
0.332489,0.00010,4,342.157,82.847,1347.709,335.550,2975.520,403.524,4285.924,694.276,129.79391587259312
0.338739,0.00008,4,357.855,135.821,1333.829,533.458,2943.075,331.636,4346.630,730.778,129.79391587259312
0.344989,0.00008,4,397.166,202.686,1287.627,977.059,2940.366,895.314,4321.089,1324.250,127.11948403464841
0.351239,0.00005,4,401.291,269.768,1257.954,752.535,2825.637,492.353,4275.491,838.781,126.29144669431209
0.357489,0.00005,4,377.558,345.014,1503.143,660.127,2868.139,678.667,4381.824,1053.225,126.29144669431209
0.363739,0.00005,4,328.122,362.790,1570.538,262.466,2809.373,678.727,4296.614,834.796,128.0206765766371
0.369989,0.00005,4,342.912,276.175,1528.663,133.120,2936.749,726.998,4562.852,1057.949,126.94003097007241
0.376239,0.00005,4,338.259,661.072,1592.406,284.001,3012.649,966.985,4565.436,1454.121,126.94003097007241
0.382489,0.00005,3,1429.675,2270.003,1669.369,638.808,3487.733,1093.853,--undefined--,--undefined--,126.6443818327725
0.388739,0.00005,4,287.490,808.914,1665.031,313.790,3167.438,1153.882,4584.003,1835.065,126.6443818327725
0.394989,0.00005,3,422.040,324.705,1643.035,155.207,3358.918,765.557,--undefined--,--undefined--,119.06856944916903
0.401239,0.00005,3,326.460,427.066,1605.059,116.955,3033.850,838.226,--undefined--,--undefined--,117.8923038753899
0.407489,0.00002,4,281.894,501.649,1607.076,118.182,3064.963,770.453,4688.908,970.170,117.8923038753899
0.413739,0.00002,4,382.188,249.345,1576.985,141.677,3053.414,504.977,4509.475,732.487,--undefined--
0.419989,0.00002,4,402.613,387.275,1570.331,221.475,3013.913,403.648,4426.802,877.532,--undefined--
0.426239,0.00002,4,345.106,251.229,1603.691,283.226,3081.660,788.621,4485.389,839.765,--undefined--
0.432489,0.000010,3,389.483,219.091,1556.869,586.749,3147.813,823.766,--undefined--,--undefined--,--undefined--
0.438739,0.000008,4,435.737,177.029,1614.060,392.925,2973.109,514.728,4411.372,555.136,--undefined--
0.444989,0.000007,4,452.218,216.726,1666.668,278.369,2994.688,581.039,4460.542,612.333,--undefined--
0.451239,0.000007,4,495.646,313.203,1667.229,597.101,3187.495,788.509,4567.410,1447.961,--undefined--
0.457489,0.000007,4,445.051,287.997,1550.569,548.810,3047.584,492.609,4308.845,767.062,--undefined--
0.463739,0.000006,4,474.829,359.455,1591.422,333.051,3001.032,567.961,4342.981,756.102,--undefined--
